ネコ日和。	고양이 일기	네코히요리
虹と太陽	무지개와 태양	니지와 태양
炭★坑★節	탄광절	탄코우부시
ハッピーシンセサイザ	해피신디사이저
若い力 -SEGA HARD GIRLS MIX-	젊은 힘 세가 하드 걸즈 믹스
ウミユリ海底譚	우미유리 해저담
welcome to maimai!! with マイマイマー	웰컴 투 마이마이
ストリーミングハート	스트리밍 하트
橙の幻想郷音頭	귤빛 환상향 온도
東方妖々夢 ～the maximum moving about～	동방요요몽
蒼空に舞え、墨染の桜	창공에 춤춰라 먹물빛 벚꽃
少女幻葬戦慄曲 ～ Necro Fantasia	소녀 환장 전율곡 네크로 판타지아
幸せになれる隠しコマンドがあるらしい	행복해지는 숨겨진 커맨드가 있는 모양
フラグメンツ -T.V. maimai edit-	프래그먼츠 마이마이 편집
願いを呼ぶ季節	소원을 부르는 계절
四次元跳躍機関	4차원 도약기관
最終鬼畜妹・一部声	최종귀축 여동생 일부 목소리
ありふれたせかいせいふく	흔한 세계정복
すろぉもぉしょん	슬로모션
頓珍漢の宴	돈칸한의 연회	돈진칸의 연회
言ノ葉遊戯	언노하유희	말잎 유희
りばーぶ	리바브
幾四音-Ixion-	익시온
閃鋼のブリューナク	섬강의 브류나크	브류나크
無敵We are one!!	무적 위 아 원	무적 위아원
スリップフリップ	슬립 플립
儚きもの人間	덧없는 인간
ラブリー☆えんじぇる!!	러블리 엔젤	러블리천사
オモイヨシノ	오모이요시노
アージェントシンメトリー	아르젠트 심메트리
厨病激発ボーイ	주우병 격발 보이	중2병 격발 보이
HIMITSUスパーク	히미츠 스파크
囲い無き世は一期の月影	둘레 없는 세상은 한 번의 달그림자	가두임 없는 세상은 일기의 달그림자
セハガガガンバッちゃう！！	세하가가가 힘내버려
キミノヨゾラ哨戒班	키미노 요조라 초계반
恋愛裁判	연애재판
パーフェクト生命	퍼펙트 생명
だんだん早くなる	점점 빨라져
ヘルシーエンド	헬시 엔드
クノイチでも恋がしたい	쿠노이치라도 사랑하고 싶어
ココロ	코코로
東京リアルワールド	도쿄 리얼 월드
やめろ！聴くな！	그만 들어
ゆっくりしていってね！！！	천천히 쉬어가
木彫り鯰と右肩ゾンビ	나무조각 메기와 오른쪽 어깨 좀비
しんでしまうとはなさけない！	죽다니 한심해
ハート・ビート	하트비트
高気圧ねこロック	고기압 고양이 록
洗脳	세뇌
色は匂へど散りぬるを	색은 향기나건만
月に叢雲華に風	달에는 뭉게구름 꽃에는 바람
ひれ伏せ愚民どもっ！	엎드려라 우민들아
エテルニタス・ルドロジー	에테르니타스 루드로지
泡沫、哀のまほろば	거품처럼 덧없는 슬픔의 마호로바
華鳥風月	화조풍월
終わりなき物語	끝없는 이야기
フォルテシモBELL	포르테시모 벨
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察	환상적 세계관에 관한 일고찰
ゴーストルール	고스트 룰
チュルリラ・チュルリラ・ダッダッダ！	츄르리라 츄르리라 닷닷다
夜明けまであと３秒	새벽까지 앞으로 3초
空威張りビヘイビア	허세 행동
回レ！雪月花	돌아라 설월화
いっしそう電☆舞舞神拳！	일심동전 마이마이신권
生きてるおばけは生きている	살아있는 요괴는 살아있다
天火明命	아메노호아카리
分からない	모르겠어
四月の雨	4월의 비
ドキドキDREAM!!!	도키도키 드림	두근두근 드림
ポップミュージックは僕のもの	팝뮤직은 내 것	팝 뮤직은 내 것
吉原ラメント	요시와라 라멘토
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？	네에 고와레타 닌교와 도코에 스테라레루노	부서진 인형은 어디에 버려지나
幽闇に目醒めしは	유우야미니 메자메시와
永遠のメロディ	영원의 멜로디
白ゆき	시라유키	하얀 눈
すーぱーぬこになりたい	슈퍼 고양이가 되고 싶어	슈퍼 누코가 되고 싶어
踊れオーケストラ	춤춰라 오케스트라
きらっせ☆ウッド村ファーム	키랏세 우드무라 팜	키랏세 우드촌 팜
その群青が愛しかったようだった	그 군청이 사랑스러웠던 것 같아
リンカーネイション	리인카네이션	윤회
宿題が終わらないっ！	숙제가 끝나지 않아
天国と地獄 -言ノ葉リンネ-	천국과 지옥 코토노하 린네
夢花火	유메하나비	꿈불꽃놀이
オトヒメモリー☆ウタゲーション	오토히메 모리 우타게이션
ラブチーノ	러브치노
東京レトロ	도쿄 레트로
バッド・ダンス・ホール	배드 댄스 홀
相思創愛	상사창애
心象蜃気楼	심상 신기루
光線チューニング	광선 튜닝
曖昧mind	애매 마인드
GET!! 夢&DREAM	겟 유메 드림	겟 꿈 드림
日本の米は世界一	일본의 쌀은 세계 제일
ないせんのうた	내선의 노래
妖精村の月誕祭 ～Lunate Elf	요정마을의 월탄제	루네이트 엘프
エイリアンエイリアン	에이리언 에이리언
猛進ソリストライフ！	맹진 솔로스트라이프
真・ハンサム体操でズンドコホイ	진 한섬 체조 즌도코호이
フラジール	프라질
オーディエンスを沸かす程度の能力 feat.タイツォン	오디언스를 뜨겁게 하는 정도의 능력 feat 타이손
人里に下ったアタイがいつの間にか社畜になっていた件	인간마을에 내려온 아타이가 어느새 사축이 된 사건
ギリギリ最強あいまいみー！	기리기리 최강 애매미
ちがう!!!	다르다고
チルノのパーフェクトさんすう教室　⑨周年バージョン	치르노의 퍼펙트 산수교실 9주년 버전	치르노 9주년 버전
デスパレイト	데스퍼레이트
ようこそジャパリパークへ	어서 와 자파리파크에
ドーナツホール	도넛홀
咲キ誇レ常世ノ華	피어라 도코요의 꽃
白い雪のプリンセスは	하얀 눈의 프린세스는
好き！雪！本気マジック	좋아 눈 진심 매직
スターナイトスノウ	스타 나이트 스노우
人生リセットボタン	인생 리셋 버튼
しねばいいのに	죽어버리면 좋을 텐데
もうみんなしねばいいのに	이젠 다 죽어버리면 좋을 텐데
共感覚おばけ	공감각 귀신
麒麟	기린
ダンスロボットダンス	댄스 로봇 댄스
アルカリレットウセイ	알칼리 열등생	알칼리 레드 라이트
ドクハク	독백
キレキャリオン	키레캐리온
猫祭り	고양이 축제	네코마츠리
天狗の落とし文 feat. ｙｔｒ	텐구의 낙서문 feat ytr	텐구의 낙서문
疾走あんさんぶる	질주 앙상블
シャルル	샤를
フリィダム ロリィタ	프리덤 로리타
バレリーコ	바레리코
アウターサイエンス	아우터 사이언스
REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.	리바이버 오르탄시아 사가 소의 기사단 오리지널 버전	리바이버
拝啓ドッペルゲンガー	하이케이 도펠겐거
ミラクル・ショッピング	미라클 쇼핑
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！	러브 잇 주얼리 엔젤 브레이크
エンドマークに希望と涙を添えて	엔드마크에 희망과 눈물을 곁들여
ナンセンス文学	넌센스 문학
砂の惑星 feat. HATSUNE MIKU	모래의 행성 feat 하츠네 미쿠	모래의 행성
アンノウン・マザーグース	언노운 마더구스
妄想感傷代償連盟	망상감상대상연맹
進め！イッスン軍団 -Rebellion of the Dwarfs-	나아가라 일순군단
インビジブル	인비지블
彗星ハネムーン	혜성 허니문
えれくとりっく・えんじぇぅ	일렉트릭 엔젤
ミラクルペイント	미라클 페인트
初音ミクの激唱	하츠네 미쿠의 격창
ガチャガチャきゅ～と・ふぃぎゅ@メイト	가챠가챠 큐트 피규어 메이트
サドマミホリック	사도마미홀릭
このふざけた素晴らしき世界は、僕の為にある	이 엉망진창인 멋진 세계는 내 것을 위해 있다
このピアノでお前を8759632145回ぶん殴る	이 피아노로 너를 8759632145번 패주마
はやくそれになりたい！	빨리 그게 되고 싶어
フィクサー	피서
みんなの	모두의
アマノジャクリバース feat. ｙｔｒ	아마노자쿠 리버스 feat ytr	아마노자쿠 리버스
進捗どうですか？	진척 어떠세요
Help me, あーりん！	헬프 미 아린
なるとなぎのパーフェクトロックンロール教室	나루토와 나기의 퍼펙트 로큰롤 교실
あねぺったん	아네펫탄
ジンギスカン	징기스칸
にじよめちゃん体操第一億	니지요메짱 체조 제1억
花と、雪と、ドラムンベース。	꽃과 눈과 드럼앤베이스
怒槌	분노의 망치	이카즈치
Seyana. ～何でも言うことを聞いてくれるアカネチャン～	세야나 뭐든지 들어주는 아카네짱
おねがいダーリン	부탁해 달링
ネ！コ！	네코
ロールプレイングゲーム	롤플레잉 게임
ヒバナ	히바나
ロキ	로키
極圏	극권
セイクリッド　ルイン	세이크리드 루인
金の聖夜霜雪に朽ちて	금빛 성야 서설에 썩어
不思議の国のクリスマス	이상한 나라의 크리스마스
片想いサンバ	짝사랑 삼바	카타오모이 삼바
ナイトメア☆パーティーナイト	나이트메어 파티나이트
フキゲンワルツ	불기분 왈츠
結ンデ開イテ羅刹ト骸	묶고 열고 라세츠와 뼈	무슨데 히라이테 라세츠와 무쿠로
サウンド	사운드
右肩の蝶	오른쪽 어깨의 나비	미기카타노초
L4TS:2018 (feat. あひる & KTA)	엘4티에스 2018
クレイジークレイジーダンサーズ	크레이지 크레이지 댄서즈
【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】	히신 마타라	비신 마타라
隠然	은연
イロトリドリのメロディ	이로토리도리의 멜로디
奏者はただ背中と提琴で語るのみ	연주자는 다만 등과 바이올린으로 말할 뿐
雷切-RAIKIRI-	라이키리
キミとボクのミライ	너와 나의 미래
敗北の少年	패배의 소년
立ち入り禁止	출입금지
命ばっかり	목숨뿐
最終鬼畜妹フランドール・S	최종귀축 여동생 플랑드르 S
ネクロファンタジア～Arr.Demetori	네크로판타지아
終点	종점
カラフル×メロディ	컬러풀 멜로디
魔法少女になるしかねぇ	마법소녀가 될 수밖에 없어
前前前世	전전전세
サンバランド	삼바랜드
渦状銀河のシンフォニエッタ	와상은하의 심포니에타
華の集落、秋のお届け	꽃마을의 가을 소식
僕は空気が嫁ない	나는 눈치를 못 봐
プリズム△▽リズム	프리즘 리듬
でらっくmaimai♪てんてこまい!	데라럭 마이마이 텐테코마이
バーチャルダム　ネーション	버추얼 다므네이션
超常マイマイン	초상 마이마인
♡マイマイマイラブ♡	마이미마이라브
一か罰	일까 벌
キリキリ舞Mine	키리키리 마이 마인
福宿音屋魂音泉	후쿠야 토루 오토야 타마온센
魔ジョ狩リ	마녀 사냥
管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2	관현악 모음곡 3번 니장조 2곡 G선상의 아리아
アポカリプスに反逆の焔を焚べろ	아포칼립스에 반역의 불꽃을 지펴라
玩具狂奏曲 -終焉-	완구 광주곡 종언
立川浄穢捕物帳	타치카와 정예 포획장
メルト	멜트
メルティランドナイトメア	멜티랜드 나이트메어
アディショナルメモリー	애디셔널 메모리
ナイト・オブ・ナイツ (Cranky Remix)	나이트 오브 나이츠 크랭키 리믹스
グリーンライツ・セレナーデ	그린라이트 세레나데
デンパラダイム	덴파라다임
骸骨楽団とリリア	해골 악단과 릴리아
星屑ユートピア	별가루 유토피아
アマツキツネ	아마츠키츠네
げきオコスティックファイナリアリティぷんぷんマスタースパーク	극대노 스틱 파이널리티 분분 마스터 스파크
太陽系デスコ	태양계 데스코	태양계
だからパンを焼いたんだ	그래서 빵을 구웠다	빵을 구웠다
アカリがやってきたぞっ	아카리가 찾아왔다	아카리
プナイプナイせんそう	푸나이푸나이 전쟁
デビル☆アイドル	데빌 아이돌
サヨナラチェーンソー	사요나라 체인소	안녕 체인소
イカサマライフゲイム	사기꾼 라이프 게임	이카사마 라이프 게임
だれかの心臓になれたなら	누군가의 심장이 될 수 있다면
幾望の月	기망의 달
39みゅーじっく！	39 뮤직	산구 뮤직
ここからはじまるプロローグ。	여기서부터 시작되는 프롤로그	프롤로그
絡めトリック利己ライザー	얽힘 트릭 이기라이저
モ°ルモ°ル	몰몰
ブレインジャックシンドローム	브레인잭 신드롬
共鳴	공명
シエルブルーマルシェ	시에르 블루 마르셰
封焔の135秒	봉염의 135초
ヤミツキ	야미츠키
ワードワードワード	워드 워드 워드
最強 the サマータイム!!!!!	최강 더 서머타임	최강 서머타임
タテマエと本心の大乱闘	겉과 속의 대난투
はちみつアドベンチャー	허니 어드벤처	꿀 어드벤처
ハム太郎とっとこうた	하무타로 톳토코우타	하무타로
だから僕は音楽を辞めた	그래서 나는 음악을 그만뒀다
ビターチョコデコレーション	비터 초코 데코레이션
アンドロイドガール	안드로이드 걸
スターリースカイ☆パレード	스털리 스카이 패러드	스타리 스카이 패러드
スロウダウナー	슬로우 다우너
クレイジー・ビート	크레이지 비트
バイオレンストリガー	바이올런스 트리거
グラーヴェ	그라베
すーぱーぬこになれんかった	슈퍼 고양이가 되지 못했다
アスヘノBRAVE	내일로의 브레이브	아스헤노 브레이브
深海シティアンダーグラウンド	심해 시티 언더그라운드
表裏一体	표리일체
ソリッド	솔리드
全力ハッピーライフ	전력 해피 라이프
アトロポスと最果の探究者	아트로포스와 최후의 탐구자
ウマイネームイズうまみちゃん	우마이 네임 이즈 우마미짱	우마미짱
ぼくたちいつでも　しゅわっしゅわ！	우리들은 언제나 슈와슈와
居並ぶ穀物と溜息まじりの運送屋	줄지어 선 곡물과 한숨 섞인 운송꾼
マイオドレ！舞舞タイム	마이오도레 마이마이 타임	마이마이 타임
オリフィス	오리피스
ユメヒバナ	유메히바나	꿈불꽃
パラボラ	파라볼라
ワンダーシャッフェンの法則	원더 샤펜의 법칙
シアトリカル・ケース	시어트리컬 케이스
ステップアンドライム	스텝 앤 라임
届かない花束	닿지 않는 꽃다발
ポケットからぬりつぶせ！	포켓에서 칠해버려	주머니에서 칠해버려
トリドリ⇒モリモリ！Lovely fruits☆	토리도리 모리모리	러블리 프루츠
宛城、炎上！！	엔조	엔조 불타오르다
レーイレーイ	레에이레에이
お願いマッスル	오네가이 머슬	부탁해 머슬
命に嫌われている	생명에게 미움받고 있어	이노치니 키라와레테이루
アンクローズ・ヒューマン	언클로즈 휴먼
乙女解剖	소녀해부	오토메카이보우
絶え間なく藍色	끊임없이 남색	타에마나쿠 아이이로
ガランド	가란도
とりあえずアナタがいなくなるまえに	일단 네가 사라지기 전에	토리아에즈 아나타가 이나쿠나루 마에니
明星ギャラクティカ	명성 갤럭티카	메이세이 갤럭티카
絶対にチョコミントを食べるアオイチャン	무조건 초코민트를 먹는 아오이짱
デリヘル呼んだら君が来た	데리헬 불렀더니 네가 왔다
ベノム	베놈
マネマネサイコトロピック	마네마네 사이코트로픽
劣等上等	열등상등
アスノヨゾラ哨戒班	내일의 밤하늘 초계반	아스노 요조라 초계반
悪戯センセーション	악동 센세이션	이타즈라 센세이션
絡繰りドール	카라쿠리 돌	기계인형
物凄いヴァイブスで魔理沙が物凄いラップ	엄청난 바이브로 마리사가 엄청난 랩	마리사 랩
カラッポ・ノンフィクション	텅 빈 논픽션	카라포 논픽션
自傷無色	자상무색
≠彡"/了→	키미츠아아
時計の国のジェミニ	시계의 나라 제미니
星めぐり、果ての君へ。	별을 돌며 끝의 너에게
スローアライズ	슬로우 어라이즈
チエルカ／エソテリカ	치에루카 에소테리카
生命不詳	생명불상	세이메이후쇼우
ほしぞらスペクタクル	별하늘 스펙타클
蒼穹舞楽	창궁무악	소우큐우 부가쿠
オーケー？　オーライ！	오케이 오라이
サヨナラフリーウェイ	사요나라 프리웨이
単一指向性オーバーブルーム	단일지향성 오버블룸
みなえをチェック！	미나에 체크
ハジマリノピアノ	시작의 피아노
おジャ魔女カーニバル!!	오자마녀 카니발
タケモトピアノCMソング	타케모토 피아노 씨엠송	타케모토 피아노 광고 노래
電話革命ナイセン	전화혁명 나이센
ネガティブ進化論	네거티브 진화론
雨とペトラ	비와 페트라
永遠にゲームで対戦したいキリタン	영원히 게임으로 대전하고 싶은 키리탄
幽霊東京	유령 도쿄
Alice in 冷凍庫	앨리스 인 냉동고
キラメキ居残り大戦争	반짝임 남아있기 대전쟁	키라메키 이노코리 대전쟁
ディカディズム	디카디즘
猫猫的宇宙論	묘묘적 우주론	냥냥적 우주론
ラットが死んだnew words	랫이 죽었다 뉴 워즈
阿吽のビーツ	아운의 비츠
再会	재회
約束	약속
トラフィック・ジャム	트래픽 잼
アルティメットセンパイ	얼티밋 센파이	얼티밋 선배
ロストワードクロニカル	로스트 워드 크로니컬
今、誰が為のかがり火へ	지금 누구를 위한 등불로	이마 타레카타메노 카가리비에
下克上々	하극상상	하극상
ハウリング	하울링
トランスダンスアナーキー	트랜스 댄스 아나키
もぺもぺ	모페모페
ベースラインやってる？笑	베이스라인 하고 있어 웃음	베이스라인 하고 있어
ヒミツCULT	히미츠 컬트	비밀 컬트
宿星審判	숙성 심판	주성 심판
脳天直撃	뇌천 직격
とびだせ！TO THE COSMIC!!	뛰어나가자 투 더 코스믹	토 더 코스믹
噛み係	물기 담당	카미가카리
トリアージ	트리아지
U&iVERSE -銀河鸞翔-	유앤아이버스 은하 난상	유니버스 은하 난상
星詠みとデスペラード	별읽는 자와 데스페라도	호시요미와 데스페라도
ヨミビトシラズ	요미비토 시라즈	읽는 사람도 모름
前衛的Landscape	전위적 랜드스케이프	전위적 풍경
躯樹の墓守	해골나무의 무덤지기	무쿠로기 무덤지기
ぱくぱく☆がーる	파쿠파쿠 걸
スピカの天秤	스피카의 천칭
ハードコア・シンドローム	하드코어 신드롬
テレキャスタービーボーイ	텔레캐스터 비보이
デッドマンズバラッド	데드맨즈 발라드
イヤホンロマンス	이어폰 로망스
竹	죽
スーパーシンメトリー	슈퍼 심메트리	슈퍼 대칭
ドラゴンエネルギー	드래곤 에너지
セカイはまだ始まってすらいない	세상은 아직 시작조차 안 됐어
紅星ミゼラブル～廃憶編	홍성 미제라블	홍성 미제라블 폐억편
幻想に咲いた花	환상에 핀 꽃
マツヨイナイトバグ	마츠요이 나이트 버그
ポッピンキャンディ☆フィーバー！	팝핀 캔디 피버
どぅーまいべすと！	두 마이 베스트	잘해보자
春を告げる	봄을 알리다
失敗作少女	실패작 소녀
悪魔の踊り方	악마의 춤추는 법	악마의 춤법
ノイローゼ	노이로제
グッバイ宣言	굿바이 선언
春嵐	춘란
ラグトレイン	래그 트레인	라그 트레인
なだめスかし Negotiation（TVsize）	나다메 스카시 네고시에이션 TV사이즈	달래며 얼버무리기 네고시에이션
インドア系ならトラックメイカー	인도어계라면 트랙메이커	실내파라면 트랙메이커
アカツキアライヴァル	아카츠키 얼라이벌
リモコン	리모컨
響け！CHIREI MY WAY!	울려라 치레이 마이 웨이	치레이 마이 웨이
神々が恋した幻想郷	신들이 사랑한 환상향
アンビバレンス	앰비밸런스
廻廻奇譚	회회기담
アイドル新鋭隊	아이돌 신예대	아이돌 신에이타이
ヒステリックナイトガール	히스테릭 나이트 걸
ミルキースター・シューティングスター	밀키 스타 슈팅 스타
パラマウント☆ショータイム！！	파라마운트 쇼타임
パーフェクション	퍼펙션
デーモンベット	데몬 베트
星空パーティーチューン	별하늘 파티 튠	호시조라 파티 튠
チューリングの跡	튜링의 흔적	튜링의 자취
白花の天使	백화의 천사
ツクヨミステップ	츠쿠요미 스텝
コスモポップファンクラブ	코스모 팝 팬클럽
撩乱乙女†無双劇	요란한 소녀 무쌍극	료란 오토메 무쌍극
エータ・ベータ・イータ	에타 베타 이타
ヴァンパイア	뱀파이어
エンヴィーベイビー	엔비 베이비
初音天地開闢神話	하츠네 천지개벽신화
Love's Theme of BADASS ～バッド・アス 愛のテーマ～	배드 애스 사랑의 테마
ヒトガタ	히토가타	인형
大輪の魂 (feat. AO, 司芭扶)	대륜의 소울
紅に染まる恋の花	붉게 물드는 사랑의 꽃
三妖精SAY YA!!!	삼요정 세이 야
ジャンキーナイトタウンオーケストラ	쟌키 나이트 타운 오케스트라	중키 나이트 타운 오케스트라
終焉逃避行	종언 도피행
若い力	젊은 힘
遺伝子レベル∞スパイラル	유전자 레벨 무한 스파이럴
エゴロック	에고 록
ただ選択があった	다만 선택이 있었다
パズルリボン	퍼즐 리본
ホシシズク	별방울	호시시즈쿠
分解収束テイル	분해 수속 테일
#狂った民族２ PRAVARGYAZOOQA	미친 민족 2
ピリオドサイン	피리어드 사인
群青シグナル	군청 시그널
星見草	별보기풀	호시미소우
康莊大道	강장대도
蜘蛛の糸	거미줄
電光石火	전광석화
アニマル	애니멀
ジレンマ	지렌마	딜레마
踊	춤
フォニイ	포니이
ヴィラン	빌런
スカーレット警察のゲットーパトロール24時	스칼렛 경찰의 게토 패트롤 24시
田中	타나카
群青讃歌	군청 찬가
セカイ	세카이	세계
ワーワーワールド	와와와 월드
銀のめぐり	은의 순환	은의 순례
モンダイナイトリッパー！	문다이 나이트 리퍼	문제 나이트 리퍼
マーシャル・マキシマイザー	마셜 맥시마이저
秋の未確認生物	가을의 미확인 생물	아키노미카쿠닌세이부츠
エナドリおいしいソング	에너지 드링크 맛있는 송	에나도리 오이시이 송
ばかみたい【Taxi Driver Edition】	바카미타이 택시 드라이버 에디션
れっつ！みらくる☆はーどこあっ！	렛츠 미라클 하드코어
アイム・マイヒーロー	아임 마이 히어로
キュートなカノジョ	큐트한 그녀
へべれけジャンキー	헤베레케 잔키	주정뱅이 잔키
きゅうくらりん	큐쿠라린
回る空うさぎ	돌아가는 하늘토끼
最強STRONGER	최강 스트롱거
ボッカデラベリタ	보카 델라 베리타
『んっあっあっ。』	응앗앗
独りんぼエンヴィー	외톨이 엔비
ロータスイーター	로터스 이터
ピュグマリオンの咒文	피그말리온의 주문
